,movieid,moviename,genres
2297,274479,Joy,18
2298,274479,Joy,35
2299,267860,London Has Fallen,28
2300,267860,London Has Fallen,80
2301,267860,London Has Fallen,53
2302,8078,Alien: Resurrection,878
2303,8078,Alien: Resurrection,27
2304,8078,Alien: Resurrection,28
2305,7485,Shooter,28
2306,7485,Shooter,18
2307,7485,Shooter,9648
2308,7485,Shooter,53
2309,7485,Shooter,80
2310,170687,The Boxtrolls,16
2311,170687,The Boxtrolls,35
2312,170687,The Boxtrolls,10751
2313,170687,The Boxtrolls,14
2314,6435,Practical Magic,18
2315,6435,Practical Magic,14
2316,6435,Practical Magic,35
2317,137106,The Lego Movie,12
2318,137106,The Lego Movie,16
2319,137106,The Lego Movie,35
2320,137106,The Lego Movie,10751
2321,137106,The Lego Movie,14
2322,10040,Miss Congeniality 2: Armed and Fabulous,28
2323,10040,Miss Congeniality 2: Armed and Fabulous,35
2324,6278,Reign of Fire,12
2325,6278,Reign of Fire,28
2326,6278,Reign of Fire,14
2327,82682,Gangster Squad,80
2328,82682,Gangster Squad,18
2329,82682,Gangster Squad,28
2330,82682,Gangster Squad,53
2331,17610,Year One,35
2332,17610,Year One,12
2333,22954,Invictus,18
2334,22954,Invictus,36
2335,16995,State of Play,28
2336,16558,Duplicity,10749
2337,16558,Duplicity,35
2338,16558,Duplicity,80
2339,9849,My Favorite Martian,35
2340,9849,My Favorite Martian,18
2341,9849,My Favorite Martian,10751
2342,9849,My Favorite Martian,878
2343,5820,The Sentinel,28
2344,5820,The Sentinel,53
2345,5820,The Sentinel,80
2346,16866,Planet 51,878
2347,16866,Planet 51,16
2348,16866,Planet 51,10751
2349,16866,Planet 51,35
2350,16866,Planet 51,12
2351,201,Star Trek: Nemesis,878
2352,201,Star Trek: Nemesis,28
2353,201,Star Trek: Nemesis,12
2354,201,Star Trek: Nemesis,53
2355,11775,Intolerable Cruelty,80
2356,11775,Intolerable Cruelty,35
2357,11775,Intolerable Cruelty,10749
2358,87825,Trouble with the Curve,18
2359,87825,Trouble with the Curve,10749
2360,12201,Edge of Darkness,80
2361,12201,Edge of Darkness,18
2362,12201,Edge of Darkness,9648
2363,12201,Edge of Darkness,53
2364,11015,The Relic,27
2365,11015,The Relic,9648
2366,11015,The Relic,53
2367,9932,Analyze That,35
2368,9932,Analyze That,80
2369,13389,Righteous Kill,28
2370,13389,Righteous Kill,80
2371,13389,Righteous Kill,18
2372,13389,Righteous Kill,53
2373,8838,Mercury Rising,28
2374,8838,Mercury Rising,80
2375,8838,Mercury Rising,18
2376,8838,Mercury Rising,53
2377,17332,The Soloist,18
