,g_name,g_id,votecount
10372,Comedy,35,57
10373,Drama,18,57
10374,Family,10751,798
10375,Fantasy,14,798
10376,Fantasy,14,38
10377,Horror,27,38
10378,Science Fiction,878,38
10379,Comedy,35,39
10380,Crime,80,39
10381,Drama,18,234
10382,Romance,10749,234
10383,Drama,18,25
10384,Comedy,35,90
10385,Drama,18,94
10386,History,36,94
10387,Comedy,35,345
10388,Drama,18,345
10389,Crime,80,94
10390,Drama,18,94
10391,Comedy,35,194
10392,Drama,18,194
10393,Comedy,35,4
10394,Documentary,99,4
10395,Comedy,35,366
10396,Horror,27,366
10397,Drama,18,1945
10398,Thriller,53,1945
10399,Mystery,9648,1945
10400,Action,28,1945
10401,Action,28,37
10402,Drama,18,37
10403,Family,10751,37
10404,Thriller,53,37
10405,Action,28,211
10406,Comedy,35,211
10407,Thriller,53,211
10408,Action,28,17
10409,Comedy,35,17
10410,Comedy,35,95
10411,Drama,18,95
10412,Thriller,53,95
10413,TV Movie,10770,12
10414,Action,28,12
10415,Drama,18,12
10416,Family,10751,12
10417,Drama,18,250
10418,Comedy,35,67
10419,Romance,10749,67
10420,Horror,27,21
10421,Science Fiction,878,21
10422,Thriller,53,21
10423,Comedy,35,444
10424,Romance,10749,444
10425,Drama,18,3
10426,Music,10402,3
10427,Family,10751,3
10428,Comedy,35,34
10429,Comedy,35,59
10430,Drama,18,59
10431,War,10752,2
10432,Drama,18,2
10433,History,36,2
10434,Horror,27,37
10435,Thriller,53,37
10436,Drama,18,5
10437,Comedy,35,5
10438,Science Fiction,878,197
10439,Drama,18,15
10440,Horror,27,15
10441,Romance,10749,15
10442,Thriller,53,148
10443,Horror,27,148
10444,Comedy,35,5
10445,Comedy,35,0
10446,Family,10751,0
10447,Drama,18,32
10448,Action,28,18
10449,Drama,18,18
10450,Thriller,53,18
10451,Comedy,35,171
10452,Comedy,35,28
10453,Drama,18,136
10454,Action,28,136
10455,Action,28,95
10456,Crime,80,95
10457,Drama,18,95
10458,Thriller,53,95
10459,Drama,18,0
10460,Comedy,35,0
10461,Thriller,53,14
10462,Mystery,9648,16
10463,Thriller,53,16
10464,Thriller,53,10
10465,Action,28,5
10466,Crime,80,5
10467,Thriller,53,5
10468,Comedy,35,22
10469,Drama,18,22
10470,Romance,10749,22
10471,Drama,18,126
10472,Comedy,35,25
10473,Drama,18,25
10474,Crime,80,54
10475,Action,28,54
10476,Comedy,35,3
10477,Drama,18,3
10478,Romance,10749,3
10479,Thriller,53,52
10480,Mystery,9648,52
10481,Drama,18,52
10482,Horror,27,52
10483,Documentary,99,36
10484,Horror,27,271
10485,Thriller,53,271
10486,Mystery,9648,271
10487,Romance,10749,34
10488,Comedy,35,34
10489,Drama,18,34
10490,Thriller,53,12
10491,Action,28,12
10492,Horror,27,12
10493,Drama,18,99
10494,Comedy,35,808
10495,Romance,10749,808
10496,Horror,27,192
10497,Thriller,53,192
10498,Adventure,12,1642
10499,Family,10751,1642
10500,Fantasy,14,1642
10501,Comedy,35,854
10502,Science Fiction,878,854
10503,Horror,27,190
10504,Action,28,190
10505,Science Fiction,878,190
10506,Comedy,35,44
10507,Drama,18,44
10508,Romance,10749,44
10509,Drama,18,19
10510,Adventure,12,59
10511,Family,10751,59
10512,Action,28,10
10513,Adventure,12,10
10514,Animation,16,10
10515,Comedy,35,10
10516,Science Fiction,878,10
10517,Adventure,12,30
10518,Comedy,35,30
10519,Romance,10749,30
10520,Comedy,35,3
10521,Drama,18,3
10522,Drama,18,8
10523,Romance,10749,8
10524,War,10752,8
10525,Western,37,609
10526,Comedy,35,609
10527,Horror,27,237
10528,Thriller,53,237
10529,Drama,18,260
10530,Drama,18,61
10531,Romance,10749,61
10532,Comedy,35,22
10533,Documentary,99,23
10534,Science Fiction,878,308
10535,Thriller,53,308
10536,Action,28,13
10537,Adventure,12,13
10538,Comedy,35,13
10539,Drama,18,13
10540,Foreign,10769,13
10541,Horror,27,38
10542,Thriller,53,38
10543,Comedy,35,727
10544,Music,10402,727
10545,Romance,10749,727
10546,Documentary,99,47
10547,Comedy,35,516
10548,Horror,27,516
10549,Documentary,99,19
10550,Comedy,35,225
10551,Drama,18,225
10552,Horror,27,229
10553,Mystery,9648,229
10554,Science Fiction,878,229
10555,Action,28,264
10556,Science Fiction,878,264
10557,Action,28,66
10558,Drama,18,66
10559,Western,37,66
10560,Comedy,35,95
10561,Documentary,99,95
10562,Drama,18,212
10563,Romance,10749,212
10564,Comedy,35,618
10565,Drama,18,618
10566,Romance,10749,618
10567,Drama,18,959
10568,Romance,10749,959
10569,Horror,27,8
10570,Mystery,9648,8
10571,Thriller,53,8
10572,Comedy,35,22
10573,Drama,18,22
10574,Romance,10749,22
10575,Comedy,35,32
10576,Romance,10749,32
10577,Drama,18,15
10578,Science Fiction,878,450
10579,Comedy,35,450
10580,Drama,18,450
10581,Crime,80,450
10582,Drama,18,77
10583,Romance,10749,77
10584,Comedy,35,1048
10585,Drama,18,1048
10586,Romance,10749,1048
10587,Comedy,35,197
10588,Documentary,99,197
10589,Documentary,99,3
10590,Drama,18,3
10591,Drama,18,1
10592,Drama,18,7
10593,Documentary,99,6
10594,Comedy,35,50
10595,Romance,10749,50
